Concentration_percent,R_peak,X1_peak,X2_peak,Z_abs_peak,Phase_peak,Y_abs_peak,G_peak,B_peak,R_peak_std,X1_peak_std,X2_peak_std,Z_abs_peak_std,Phase_peak_std,Y_abs_peak_std,G_peak_std,B_peak_std
0,10013300.240514,10010780.1023928,10015852.0049238,10015527.2143759,10012975.661856,10010419.3539968,0.000473890939031794,10010198.1916855,20.9078635365068,37.0696266964061,22.4504590473479,19.5443839457207,20.3660484461757,39.136206410194,3.13988138119836e-06,36.907714692769
0.1,10013348.1180815,10010860.0494542,10015870.7338864,10015544.1023334,10013022.8696216,10010496.1773892,0.000467959167724557,10010274.7482725,9.04215111986448,19.1617077849135,20.58862516534,17.3960023889659,8.87891062311855,18.7182302418092,1.82044936724465e-06,19.6403429963973
0.2,10013365.7415671,10010885.8155036,10015875.386307,10015547.1572456,10013040.4434616,10010524.484758,0.000465980026461581,10010300.6880871,2.53774867121842,15.9217413534596,17.9917429940883,14.6733024011196,2.88817673032698,14.4991710022193,1.2912113367349e-06,13.8016257693268
0.3,10013363.2376162,10010881.3743247,10015874.5108577,10015547.7409327,10013036.1594753,10010513.447033,0.000466866394429893,10010288.4915301,2.81510181417155,12.1212804726464,17.6730775498344,17.6622534544832,2.77255950928002,12.7039341528182,1.06620573752379e-06,14.0825117733592
0.4,10013370.5693904,10010890.6157243,10015876.5620984,10015549.9848292,10013043.3313769,10010525.5771121,0.000466350037772112,10010297.4285446,7.59157125618683,16.9086822784553,18.6128761556929,17.257711112109,7.49181576328099,18.636527064978,1.57866857048016e-06,14.6314997684109
0.5,10013346.141013,10010818.4075758,10015883.6535597,10015551.5889142,10013007.9727072,10010434.2931697,0.000475794796290769,10010191.8831147,22.6933444113278,57.5012981563989,19.3347738529567,17.8033053131386,29.7994785670103,67.2218278970108,7.39218540263128e-06,82.3058437087097
0.6,10013316.8758782,10010730.1497225,10015893.7747354,10015544.3701962,10012965.2016129,10010323.3811495,0.000488809338306963,10010053.4022724,5.57900962596913,21.23256025129,19.4431405201456,16.988997269275,6.08109610101676,19.6437613103345,2.61163223772944e-06,22.2760098579692
0.7,10013334.8912012,10010737.0371122,10015924.6835692,10015572.5208709,10012982.2620933,10010328.6645278,0.000490873798690394,10010056.7291443,4.41759508959903,14.699883001801,21.8544043540273,21.3662899000648,4.20025312893151,17.025167318162,1.39222385367313e-06,13.776009052666
0.8,10013335.8173349,10010735.9209395,10015923.0086983,10015570.2575949,10012981.9689934,10010325.0339556,0.000491369148108729,10010049.2527102,2.34857109555857,11.9401373358008,19.1539814761891,18.4416019410496,2.55749353373963,15.2559655726974,1.22118899374659e-06,13.192827348441
0.9,10013335.6934861,10010731.6017271,10015926.6889407,10015573.9750902,10012980.6545602,10010317.993121,0.000491963856810758,10010047.9632208,3.00874282190308,13.3248361491664,19.9845590672627,15.6679459363557,3.55520274291709,17.1802433731967,1.4040842410062e-06,17.0342612336528
1,10013499.4240435,10010936.3499173,10016026.5458558,10015668.2953142,10013160.1177698,10010509.5377731,0.000483341658781878,10010262.1672949,481.153563362426,644.863653265107,332.103293172358,333.759827848036,484.976878965288,649.507762095527,2.85690157371203e-05,655.964244131769
1.1,10014310.0113968,10012055.1212866,10016569.155526,10016222.4918732,10013960.3078769,10011651.9736522,0.000432075119248203,10011399.3101924,33.4457195215398,38.3831193113994,32.6601062492684,32.474853652453,34.1990470109702,39.6629114430606,2.05977930795177e-06,40.8612535541675
1.2,10014423.7051025,10012233.8051404,10016616.665429,10016276.4310665,10014080.0932329,10011837.3277992,0.000419333540958581,10011591.9168992,27.6648517061924,51.6007484678412,19.6471328131903,18.2824859624921,30.4329046982064,51.9882874106294,4.35735914773917e-06,56.0704910394893
1.3,10013905.2777896,10011517.1711826,10016297.0017795,10015960.6428057,10013563.0402359,10011130.4740514,0.000456172323413645,10010897.4657182,983.012836407024,1442.4940633716,540.197541322566,551.298869035671,997.825970093458,1452.22503118884,8.86700233422636e-05,1466.59222454779
1.4,10012280.2138323,10009149.8351096,10015413.7851933,10015068.4160012,10011946.034288,10008765.3519183,0.000589714522137463,10008493.2362639,30.9083742865801,85.8482224621976,31.6928900725795,27.1808008062857,33.3922920304212,89.7862308929811,6.52499897771172e-05,98.2480212956403
1.5,10012315.2319115,10009206.6774263,10015441.8870651,10015097.9107565,10011987.1251802,10008833.6195018,0.000585615036224638,10008573.0008563,22.5172625649429,65.2953120633657,29.2452507408921,24.976238963984,24.1892567112963,69.4935713518524,6.43535398340575e-05,68.9405880323004
1.6,10012327.3540509,10009223.7447312,10015456.3102172,10015118.112751,10012001.6924412,10008851.88952,0.000591804739756166,10008599.9768225,17.7854465568265,59.1923993369248,33.186883235859,27.3723470687181,18.7452891615078,59.1166456391375,7.07561027646747e-06,61.0774306373433
1.7,10012326.4543726,10009218.812183,10015460.4024697,10015129.4670639,10012002.597207,10008853.8527613,0.000592405237204933,10008604.6137661,19.3777309774402,61.6944737432844,31.2647539642762,31.2488886083142,19.9791920612374,61.9795578808104,7.17169532183308e-06,60.8548181683163
1.8,10012321.4125865,10009211.8586204,10015460.2793173,10015131.0120207,10011999.5818448,10008851.1091711,0.000592737392419957,10008603.3771473,22.224798724621,65.5372918180239,30.8379530074421,26.8722886016322,22.9839497325467,68.247116859699,7.72138835026058e-06,65.3969998757963
1.9,10012318.4675183,10009214.8483155,10015461.6510274,10015124.8154776,10011996.6571976,10008851.2949542,0.000592773507901006,10008604.3278314,22.3500623854739,60.3067089146895,29.9380924203551,28.6865085033878,22.6268670725374,64.0399687911688,7.89248557080351e-06,65.6277912045676
2,10012312.222359,10009204.5887211,10015456.1334724,10015120.2882599,10011992.2684471,10008845.1643124,0.000592279181316564,10008605.0909667,18.8101595979171,56.0805040456256,29.1425358098967,25.5115559281722,19.7580200792034,57.6927741539542,6.86188894535035e-06,59.4065119333362
